N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL
153,코리안리,"8,390",0,0.00%,500,"10,099","120,369",30.42,"180,955",5.35,8.04,https://finance.naver.com/item/main.nhn?code=003690
154,녹십자홀딩스,"21,450",550,+2.63%,500,"10,088","47,028",7.35,"83,058",357.50,0.37,https://finance.naver.com/item/main.nhn?code=005250
155,KODEX 200TR,"8,040",105,-1.29%,0,"10,058","125,100",18.52,"85,100",N/A,N/A,https://finance.naver.com/item/main.nhn?code=278530
156,더블유게임즈,"54,700",800,-1.44%,500,"9,991","18,266",12.17,"77,021",9.06,18.93,https://finance.naver.com/item/main.nhn?code=192080
157,KODEX 인버스,"7,000",70,+1.01%,0,"9,877","141,100",0.47,"20,004,510",N/A,N/A,https://finance.naver.com/item/main.nhn?code=114800
158,한화시스템,"8,900",650,+7.88%,"5,000","9,810","110,230",0.90,"1,212,783",N/A,8.15,https://finance.naver.com/item/main.nhn?code=272210
159,두산중공업,"3,850",60,-1.53%,"5,000","9,746","253,141",7.28,"788,659",-1.79,-14.73,https://finance.naver.com/item/main.nhn?code=034020
160,TRUE 코스피 양매도 5% OTM ETN,"9,755",20,+0.21%,0,"9,648","98,900",0.00,75,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570019
161,신풍제약,"18,200",550,-2.93%,500,"9,643","52,985",0.95,"2,626,333",587.10,0.80,https://finance.naver.com/item/main.nhn?code=019170
162,TIGER TOP10,"8,220",85,-1.02%,0,"9,560","116,300",0.09,"21,025",N/A,N/A,https://finance.naver.com/item/main.nhn?code=292150
163,한국콜마,"41,750",600,-1.42%,500,"9,553","22,881",26.21,"57,001",32.52,6.39,https://finance.naver.com/item/main.nhn?code=161890
164,대한유화,"146,500","10,500",+7.72%,"5,000","9,522","6,500",12.28,"141,831",8.95,6.11,https://finance.naver.com/item/main.nhn?code=006650
165,두산솔루스,"30,950","1,450",-4.48%,100,"9,468","30,590",4.98,"620,464",N/A,N/A,https://finance.naver.com/item/main.nhn?code=336370
166,아시아나항공,"4,235",60,-1.40%,"5,000","9,454","223,235",7.16,"2,042,584",-1.17,-90.67,https://finance.naver.com/item/main.nhn?code=020560
167,KODEX WTI원유선물(H),"4,365",235,+5.69%,0,"9,415","215,700",0.03,"17,077,722",N/A,N/A,https://finance.naver.com/item/main.nhn?code=261220
168,한솔케미칼,"82,700","1,200",-1.43%,"5,000","9,341","11,295",26.92,"18,695",10.80,20.88,https://finance.naver.com/item/main.nhn?code=014680
169,KODEX 삼성그룹,"6,350",75,-1.17%,0,"9,334","147,000",0.03,"41,206",N/A,N/A,https://finance.naver.com/item/main.nhn?code=102780
170,영풍,"502,000","4,000",-0.79%,"5,000","9,247","1,842",4.00,931,3.97,7.40,https://finance.naver.com/item/main.nhn?code=000670
171,GKL,"14,900",300,-1.97%,500,"9,216","61,856",7.45,"116,267",12.74,12.62,https://finance.naver.com/item/main.nhn?code=114090
172,영진약품,"5,030",130,-2.52%,500,"9,200","182,893",5.00,"554,455",179.64,4.43,https://finance.naver.com/item/main.nhn?code=003520
173,HANARO 200,"25,520",265,-1.03%,0,"9,162","35,900",1.95,"26,144",N/A,N/A,https://finance.naver.com/item/main.nhn?code=293180
174,SK케미칼,"77,900",100,+0.13%,"5,000","9,147","11,741",9.55,"124,607",96.53,1.51,https://finance.naver.com/item/main.nhn?code=285130
175,OCI,"38,300",950,-2.42%,"5,000","9,134","23,849",23.62,"75,246",-1.15,-26.20,https://finance.naver.com/item/main.nhn?code=010060
176,롯데정밀화학,"35,400",500,-1.39%,"5,000","9,133","25,800",24.65,"56,012",5.42,11.73,https://finance.naver.com/item/main.nhn?code=004000
177,롯데리츠,"5,200",160,-2.99%,500,"8,942","171,969",6.05,"378,896",N/A,1.64,https://finance.naver.com/item/main.nhn?code=330590
178,두산인프라코어,"4,255",5,-0.12%,"5,000","8,857","208,161",12.28,"1,104,551",3.69,11.59,https://finance.naver.com/item/main.nhn?code=042670
179,한국테크놀로지그룹,"9,420",230,-2.38%,500,"8,762","93,020",10.46,"39,926",5.79,4.71,https://finance.naver.com/item/main.nhn?code=000240
180,현대위아,"32,050",850,-2.58%,"5,000","8,716","27,195",12.23,"69,343",15.79,1.80,https://finance.naver.com/item/main.nhn?code=011210
181,금호타이어,"3,010",65,-2.11%,"5,000","8,647","287,260",3.95,"237,712",-14.98,-4.36,https://finance.naver.com/item/main.nhn?code=073240
182,JB금융지주,"4,360",50,-1.13%,"5,000","8,588","196,983",40.18,"64,027",2.51,10.36,https://finance.naver.com/item/main.nhn?code=175330
