N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
30,하나금융지주,"27,600",550,+2.03%,"5,000","82,867","300,242",65.68,"3,947,505",3.46,8.77,https://finance.naver.com/item/main.nhn?code=086790,086790
31,삼성전기,"109,500","1,500",-1.35%,"5,000","81,790","74,694",30.83,"620,898",16.52,10.18,https://finance.naver.com/item/main.nhn?code=009150,009150
32,넷마블,"94,300","1,900",+2.06%,100,"80,902","85,792",23.15,"254,400",51.73,3.54,https://finance.naver.com/item/main.nhn?code=251270,251270
33,S-Oil,"68,600","2,900",-4.06%,"2,500","77,232","112,583",75.61,"1,594,758",122.28,1.01,https://finance.naver.com/item/main.nhn?code=010950,010950
34,롯데케미칼,"222,000","1,500",-0.67%,"5,000","76,091","34,275",29.29,"140,712",10.64,5.51,https://finance.naver.com/item/main.nhn?code=011170,011170
35,고려아연,"386,500","8,500",-2.15%,"5,000","72,933","18,870",23.33,"40,559",11.52,9.76,https://finance.naver.com/item/main.nhn?code=010130,010130
36,KT,"23,650",50,+0.21%,"5,000","61,753","261,112",46.40,"589,359",9.97,4.61,https://finance.naver.com/item/main.nhn?code=030200,030200
37,우리금융지주,"8,380",50,+0.60%,"5,000","60,526","722,268",28.19,"3,969,913",3.02,N/A,https://finance.naver.com/item/main.nhn?code=316140,316140
38,LG유플러스,"13,050",150,-1.14%,"5,000","56,978","436,611",36.18,"1,053,841",12.99,6.30,https://finance.naver.com/item/main.nhn?code=032640,032640
39,한국조선해양,"76,600",700,-0.91%,"5,000","54,212","70,773",16.11,"170,489",33.05,1.40,https://finance.naver.com/item/main.nhn?code=009540,009540
40,강원랜드,"25,250",550,+2.23%,500,"54,020","213,940",26.88,"909,723",16.14,9.16,https://finance.naver.com/item/main.nhn?code=035250,035250
41,한진칼,"91,000",500,+0.55%,"2,500","53,845","59,170",19.49,"2,492,434",-22.36,-17.56,https://finance.naver.com/item/main.nhn?code=180640,180640
42,KODEX 200,"25,500",5,+0.02%,0,"51,038","200,150",2.51,"4,476,600",N/A,N/A,https://finance.naver.com/item/main.nhn?code=069500,069500
43,한온시스템,"9,080",200,+2.25%,100,"48,469","533,800",20.34,"617,446",15.21,14.98,https://finance.naver.com/item/main.nhn?code=018880,018880
44,아모레G,"58,700",500,+0.86%,500,"48,403","82,458",21.52,"184,594",39.19,4.12,https://finance.naver.com/item/main.nhn?code=002790,002790
